2 1 1.0463
2 2 1.255
2 3 1.4287
2 4 1
3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
4 1 1.0098
4 2 1.0855
4 3 1.2309
4 4 1.3604
4 5 1.5349
4 6 1.6616
4 7 1.7207
4 8 1.7975
4 9 1.7503
4 10 1.569
4 11 1.3651
4 12 1.2005
4 13 1.0681
4 14 1.0153
4 15 1.0006
4 16 1
5 1 1.0047
5 2 1.0246
5 3 1.0671
5 4 1.132
5 5 1.1423
5 6 1.1562
5 7 1.1304
5 8 1.1153
5 9 1.0916
5 10 1.0772
5 11 1.0713
5 12 1.0701
5 13 1.0571
5 14 1.0404
5 15 1.0492
5 16 1.03
5 17 1.0245
5 18 1.0234
5 19 1.0107
5 20 1.0082
5 21 1.0011
5 22 1.0001
5 23 1.0001
5 24 1
5 25 1
6 1 1.0028
6 2 1.0415
6 3 1.0788
6 4 1.164
6 5 1.242
6 6 1.2008
6 7 1.2592
6 8 1.1924
6 9 1.1652
6 10 1.121
6 11 1.0812
6 12 1.0521
6 13 1.0319
6 14 1.0283
6 15 1.017
6 16 1.0212
6 17 1.0145
6 18 1.0193
6 19 1.0115
6 20 1.0137
6 21 1.0134
6 22 1.0129
6 23 1.0075
6 24 1.0066
6 25 1.0066
6 26 1.0033
6 27 1.0033
6 28 1.0007
6 29 1.0008
6 30 1.0002
6 31 1
6 32 1
6 33 1
6 34 1
6 35 1
6 36 1
7 1 1.0009
7 2 1.008
7 3 1.0353
7 4 1.0561
7 5 1.1152
7 6 1.1379
7 7 1.2052
7 8 1.1818
7 9 1.1626
7 10 1.0995
7 11 1.1166
7 12 1.0439
7 13 1.0451
7 14 1.0285
7 15 1.0232
7 16 1.0082
7 17 1.0062
7 18 1.0019
7 19 1.0082
7 20 1.0017
7 21 1.0019
7 22 1.0029
7 23 1.0035
7 24 1.0017
7 25 1.0018
7 26 1.0016
7 27 1.0044
7 28 1.0013
7 29 1.0055
7 30 1.0009
7 31 1.0016
7 32 1.0007
7 33 1.0004
7 34 1.0008
7 35 1.0003
7 36 1.001
7 37 1.0005
7 38 1.0002
7 39 1.0001
7 40 1
7 41 1
7 42 1
7 43 1
7 44 1
7 45 1
7 46 1
7 47 1
7 48 1
7 49 1
8 1 1.0006
8 2 1.0091
8 3 1.0174
8 4 1.0873
8 5 1.0892
8 6 1.1221
8 7 1.1748
8 8 1.2044
8 9 1.2405
8 10 1.235
8 11 1.2132
8 12 1.1713
8 13 1.1264
8 14 1.1028
8 15 1.073
8 16 1.0421
8 17 1.0461
8 18 1.0214
8 19 1.0077
8 20 1.0152
8 21 1.0051
8 22 1.0032
8 23 1.0028
8 24 1.0011
8 25 1.0045
8 26 1.0014
8 27 1.0014
8 28 1.0018
8 29 1.0024
8 30 1.0017
8 31 1.0019
8 32 1.0003
8 33 1.0009
8 34 1.0007
8 35 1.0015
8 36 1.0013
8 37 1.0011
8 38 1.0025
8 39 1.0013
8 40 1.0016
8 41 1.0018
8 42 1.0015
8 43 1.0012
8 44 1.0006
8 45 1.0011
8 46 1.0003
8 47 1.0003
8 48 1.0002
8 49 1.0004
8 50 1.0002
8 51 1.0001
8 52 1.0004
8 53 1
8 54 1
8 55 1.0001
8 56 1
8 57 1
8 58 1
8 59 1
8 60 1
8 61 1
8 62 1
8 63 1
8 64 1
9 1 1.0004
9 2 1.006
9 3 1.0138
9 4 1.0403
9 5 1.0808
9 6 1.0979
9 7 1.1672
9 8 1.1933
9 9 1.22
9 10 1.2797
9 11 1.2477
9 12 1.2226
9 13 1.2017
9 14 1.1903
9 15 1.1527
9 16 1.0962
9 17 1.0843
9 18 1.0466
9 19 1.04
9 20 1.0287
9 21 1.0188
9 22 1.0192
9 23 1.0177
9 24 1.004
9 25 1.0062
9 26 1.0022
9 27 1.0023
9 28 1.0016
9 29 1.0013
9 30 1.0007
9 31 1.0006
9 32 1.0008
9 33 1.001
9 34 1.0013
9 35 1.0012
9 36 1.0008
9 37 1.0002
9 38 1.0012
9 39 1.0001
9 40 1.0007
9 41 1.0009
9 42 1.0008
9 43 1.0012
9 44 1.0011
9 45 1.0006
9 46 1.0005
9 47 1.0008
9 48 1.0005
9 49 1.0005
9 50 1.0005
9 51 1.0011
9 52 1.0007
9 53 1.0006
9 54 1.0002
9 55 1.0007
9 56 1.0005
9 57 1.0008
9 58 1.0003
9 59 1.0006
9 60 1.0004
9 61 1.0004
9 62 1.0004
9 63 1.0003
9 64 1.0003
9 65 1
9 66 1.0001
9 67 1.0002
9 68 1
9 69 1
9 70 1
9 71 1
9 72 1
9 73 1
9 74 1
9 75 1
9 76 1
9 77 1
9 78 1
9 79 1
9 80 1
9 81 1
10 1 1
10 2 1.0009
10 3 1.0095
10 4 1.0148
10 5 1.0243
10 6 1.0757
10 7 1.1053
10 8 1.1445
10 9 1.1907
10 10 1.244
10 11 1.2867
10 12 1.2493
10 13 1.2552
10 14 1.2657
10 15 1.1836
10 16 1.1949
