0 2
1 5.6047
2 17.9689
3 38.0932
4 59.31
5 80.4899
6 95.0303
7 103.943
8 110.899
9 114.897
10 116.114
11 118.379
12 120.601
13 120.371
14 119.473
15 119.636
16 117.419
17 118.991
18 117.838
19 117.193
20 118.308
21 117.919
22 118.04
23 120.228
24 121.383
25 123.407
26 121.811
27 122.622
28 121.703
29 122.373
30 121.024
31 120.555
32 120.946
33 117.833
34 118.557
35 115.872
36 112.786
37 109.334
38 105.196
39 98.7973
40 90.3616
41 82.7249
42 75.2177
43 63.8967
44 57.8005
45 45.992
46 37.6339
47 28.305
48 21.8507
49 15.9365
50 11.7923
51 9.2329
52 6.689
53 4.8765
54 3.6517
55 2.8083
56 2.5243
57 2.2243
58 2.0953
59 2.0504
60 2.0123
61 2.004
62 2
63 2
64 2
