0 2
1 2.0092
2 2.0676
3 2.1779
4 2.3682
5 2.6192
6 2.8855
7 3.1801
8 3.4849
9 3.7952
10 4.1433
11 4.4439
12 4.7672
13 5.0724
14 5.4213
15 5.6835
16 5.9981
17 6.3349
18 6.6326
19 6.927
20 7.2749
21 7.646
22 7.9548
23 8.4384
24 8.8949
25 9.3255
26 9.9156
27 10.396
28 11.067
29 11.4522
30 12.0259
31 12.3003
32 12.5876
33 12.5515
34 12.2772
35 12.0449
36 11.3807
37 10.6831
38 9.9001
39 9.049
40 8.181
41 7.471
42 6.719
43 6.1174
44 5.5168
45 5.0681
46 4.6652
47 4.2903
48 3.9609
49 3.6927
50 3.4476
51 3.2321
52 3.033
53 2.842
54 2.6668
55 2.516
56 2.3817
57 2.2534
58 2.1644
59 2.0911
60 2.0441
61 2.0144
62 2.0047
63 2.0001
64 2
