0 2
1 2.0166
2 2.1971
3 3.3974
4 5.7486
5 9.4239
6 16.8278
7 27.2605
8 36.8267
9 49.1372
10 65.1911
11 76.2867
12 86.9886
13 98.2695
14 105.236
15 112.939
16 118.124
17 119.988
18 122.894
19 126.282
20 127.737
21 127.035
22 127.747
23 129.048
24 129.234
25 128.472
26 129.098
27 128.801
28 127.892
29 130.353
30 130.024
31 129.081
32 126.678
33 127.786
34 129.834
35 129.215
36 128.887
37 128.411
38 127.35
39 126.084
40 126.999
41 124.775
42 124.336
43 123.928
44 120.064
45 115.026
46 116.333
47 109.645
48 102.243
49 93.5465
50 84.2427
51 75.5693
52 63.5806
53 52.5238
54 41.1093
55 29.7554
56 18.0264
57 12.5432
58 7.5122
59 4.7444
60 2.7962
61 2.2765
62 2.0835
63 2.0111
64 2
