0 2
1 6.0722
2 22.9963
3 49.4607
4 82.5808
5 109.852
6 127.99
7 150.611
8 160.835
9 164.396
10 170.696
11 172.403
12 173.164
13 174.676
14 173.973
15 174.61
16 175.972
17 174.27
18 172.439
19 171.905
20 173.236
21 169.704
22 169.508
23 160.41
24 157.102
25 148.935
26 139.016
27 129.786
28 121.346
29 108.888
30 98.7772
31 84.4076
32 70.4884
33 60.6191
34 50.0204
35 41.1787
36 31.1734
37 25.395
38 19.3799
39 14.8046
40 12.1789
41 8.9379
42 6.562
43 5.5752
44 4.1707
45 3.4402
46 2.9626
47 2.3492
48 2.2831
49 2.1708
50 2.1073
51 2.0533
52 2.0389
53 2.0197
54 2.0029
55 2.0014
56 2.0015
57 2.0003
58 2
59 2
60 2
61 2
62 2
63 2
64 2
